,sell_price,rent_price,net_area,gross_area,effi_ratio,layout,orit,upd_dt,ttl_flt,prop_val,rpy_prd,inc_reqr,addr,latitude,longitude
8142,7.9,,364.0,482.0,76.0,,,2019-05-09,334.0,7900000.0,30,44238.0, 388 CHATHAM ROAD NORTH,22.3110599,114.1867161
8143,10.28,,786.0,1148.0,68.0,3.0,Northeast,2019-05-20,92.0,10280000.0,30,47971.0, 5 KONG PUI STREET,22.379971100000002,114.1973641
8144,9.58,,545.0,641.0,85.0,,East,2019-05-16,12698.0,9580000.0,30,46664.0, 11-17 TAIKOO WAN ROAD,22.287305399999997,114.214344808958
8145,6.8,,354.0,413.0,86.0,2.0,East,2019-05-15,40.0,6800000.0,30,38078.0,,22.2793278,
8146,5.8,,,,,,,2019-02-21,162.0,5800000.0,30,32478.0,,22.2793278,
8147,8.0,,771.0,903.0,85.0,,Southeast,2019-05-12,8182.0,8000000.0,30,44798.0,,22.2793278,
8148,14.5,,1159.0,,,3.0,North,2019-05-20,1419.0,14500000.0,30,67663.0," 1 YING HONG STREET, 1-5 YING TUNG STREET",,
8149,6.0,,329.0,450.0,73.0,1.0,,2019-04-18,120.0,6000000.0,30,33598.0, 175-191 LOCKHART ROAD,22.2798472,114.1809499
8150,15.0,,574.0,743.0,77.0,2.0,West,2019-05-15,864.0,15000000.0,30,69996.0, 28 TAI ON STREET,22.282772199999997,114.222974
8151,7.5,,707.0,998.0,71.0,2.0,East,2019-05-18,1182.0,7500000.0,30,41998.0, 100 CASTLE PEAK ROAD TSING LUNG TAU,22.36562,114.0571428
8152,5.5,,310.0,480.0,65.0,2.0,,2019-05-18,52.0,5500000.0,30,30798.0,,22.2793278,
8153,16.8,,634.0,800.0,79.0,1.0,Southwest,2019-05-20,5.0,16800000.0,30,78396.0, 36 Elgin Street,22.2813277,114.1526603
8154,5.4,,394.0,534.0,74.0,,,2019-05-18,1680.0,5400000.0,30,30238.0, 11 ON PO LANE,22.454470800000003,114.1738336
8155,6.5,,499.0,685.0,73.0,,East,2019-05-15,1000.0,6500000.0,30,36398.0, 280 WU CHUI ROAD,22.373290100000002,113.9653112
8156,13.8,,485.0,,,2.0,,2019-05-12,119.0,13800000.0,30,64397.0, 3 GORDON ROAD,22.2854475,114.1907255
8157,20.9,,688.0,,,2.0,North,2019-05-10,576.0,20900000.0,30,97528.0, 8 WUI CHEUNG ROAD,22.30526925,114.166677722034
8158,7.6,,509.0,683.0,75.0,3.0,,2019-04-25,,7600000.0,30,42558.0,,22.2793278,
8159,11.0,,517.0,670.0,77.0,2.0,South,2019-05-11,1040.0,11000000.0,30,51331.0, 3 AP LEI CHAU DRIVE,22.2434046,114.1575918
8160,60.0,,1062.0,1443.0,74.0,3.0,South,2019-05-20,1122.0,60000000.0,30,279986.0, 1 AUSTIN ROAD WEST,22.3031647,114.1602124
8161,58.0,,1732.0,,,4.0,Northwest,2019-05-17,92.0,58000000.0,30,270653.0, 1 SAI WAN TERRACE,22.284556,114.2184428
8162,60.0,,1733.0,,,4.0,Northwest,2019-05-17,92.0,60000000.0,30,279986.0, 1 SAI WAN TERRACE,22.284556,114.2184428
8163,9.0,,688.0,854.0,81.0,3.0,Southeast,2019-05-20,840.0,9000000.0,30,46664.0, 15-17 ON KING STREET,22.396586399999997,114.2099608
8164,38.0,,1231.0,,,3.0,Northwest,2019-05-19,92.0,38000000.0,30,177324.0, 1 SAI WAN TERRACE,22.284556,114.2184428
8165,15.6,,761.0,1026.0,74.0,3.0,Southeast,2019-05-19,2880.0,15600000.0,30,72796.0, 1 TONG TAK STREET,22.309026199999998,114.2604145
8166,7.2,,582.0,695.0,84.0,3.0,,2019-04-01,78.0,7200000.0,30,40318.0," 10-20 TAI HO ROAD, 8-12 DUNG FAT STREET, 7-11 ON WING STREET",,
8167,3.5,,397.0,513.0,77.0,,,2019-05-15,3217.0,3500000.0,30,19599.0, 3 WAH KWAI ROAD,22.250735100000004,114.1392302
8168,78.0,,1084.0,1442.0,75.0,3.0,South,2019-05-18,1122.0,78001000.0,30,363986.0, 1 AUSTIN ROAD WEST,22.3031647,114.1602124
8169,6.3,,509.0,674.0,76.0,2.0,East,2019-05-14,1618.0,6300000.0,30,35278.0, 33 YUEN LONG KAU HUI ROAD,22.4482733,114.0338216
8170,10.8,,665.0,931.0,71.0,,,2019-05-09,304.0,10800000.0,30,50397.0, 99 PO KONG VILLAGE ROAD,22.3457845,114.2060642
8171,13.2,,676.0,849.0,80.0,3.0,Southwest,2019-05-18,3500.0,13200000.0,30,61597.0, 33 TSING KING ROAD,22.3602724,114.1032529
8172,4.88,,583.0,719.0,81.0,,,2019-05-20,830.0,4880000.0,30,27327.0, 8 CHI CHEONG ROAD,22.501765,114.1315374
8173,53.5,,1062.0,1443.0,74.0,3.0,South,2019-05-20,1122.0,53500000.0,30,249654.0, 1 AUSTIN ROAD WEST,22.3031647,114.1602124
8174,8.68,,575.0,735.0,78.0,2.0,East,2019-05-18,606.0,8680000.0,30,46664.0, 8 PAK LAI ROAD,22.3542201,114.0620042
8175,12.0,,831.0,1113.0,75.0,3.0,,2019-05-11,1030.0,12000000.0,30,55997.0, 1 YUK TAI STREET,22.4114015,114.2221689
8176,3.35,,401.0,515.0,78.0,2.0,Southeast,2019-05-15,4200.0,3350000.0,30,18759.0, 3 SIU HING LANE,22.3849562,113.976056362263
8177,13.0,,451.0,615.0,73.0,2.0,,2019-05-12,95.0,13000000.0,30,60664.0, 1 HIGH STREET,53.2753265,-1.6591303
8178,7.5,,583.0,,,,,2019-05-20,362.0,7500000.0,30,41998.0, 18 CASTLE PEAK ROAD TAM MEI,,
8179,9.5,,505.0,,,,,2019-05-09,350.0,9500000.0,30,46664.0, 399 CASTLE PEAK ROAD,22.333281500000002,114.1631463
8180,5.5,,422.0,509.0,83.0,2.0,,2019-05-10,96.0,5500000.0,30,30798.0, 17-53 HOP YICK ROAD,22.4416524,114.031032371721
8181,10.0,,446.0,550.0,81.0,2.0,,2019-05-06,48.0,10000000.0,30,46664.0,,22.2793278,
8182,200.0,,2582.0,,,5.0,,2019-05-16,197.0,200000000.0,30,933285.0, 100 CAINE ROAD,22.282381,114.150549650901
8183,7.6,,566.0,811.0,70.0,3.0,Southwest,2019-05-09,924.0,7600000.0,30,42558.0, 33 WO YI HOP ROAD,22.366820999999998,114.137108157372
8184,11.2,,488.0,597.0,82.0,2.0,Southeast,2019-05-15,12698.0,11200000.0,30,52264.0, 11-17 TAIKOO WAN ROAD,22.287305399999997,114.214344808958
8185,4.8,,312.0,450.0,69.0,2.0,East,2019-05-07,348.0,4800000.0,30,26879.0, 13-17 WING FAT LANE,22.384122100000003,113.9814141
8186,7.9,,456.0,514.0,89.0,2.0,West,2019-05-18,1104.0,7900000.0,30,44238.0, 560 KING'S ROAD,22.2909365,114.1989197
8187,8.38,,646.0,953.0,68.0,3.0,Southeast,2019-05-18,1733.0,8380000.0,30,46664.0, 19-25 ON KING STREET,22.3928765,114.2074994
8188,14.0,,696.0,811.0,86.0,3.0,Northwest,2019-05-15,12698.0,14000000.0,30,65330.0, 11-17 TAIKOO WAN ROAD,22.287305399999997,114.214344808958
8189,13.0,,797.0,894.0,89.0,3.0,East,2019-05-15,12698.0,13000000.0,30,60664.0, 11-17 TAIKOO WAN ROAD,22.287305399999997,114.214344808958
8190,7.8,,510.0,,,2.0,,2019-03-15,872.0,7800000.0,30,43678.0, 6 SHEK KOK ROAD,22.297832999999997,114.273333947194
8191,11.0,,390.0,,,1.0,,2019-05-18,166.0,11000000.0,30,51331.0, 38 WESTERN STREET,22.2862042,114.1407895
8192,5.3,,448.0,586.0,76.0,2.0,,2019-05-06,3472.0,5300000.0,30,29678.0, 1 TIN WU ROAD,22.4521749,114.0016309
8193,53.0,,1534.0,1938.0,79.0,4.0,South,2019-05-11,411.0,53000000.0,30,247321.0, 9 WELFARE ROAD,22.2461484,114.1649044
8194,53.0,,1534.0,1938.0,79.0,4.0,South,2019-05-11,411.0,53000000.0,30,247321.0, 9 WELFARE ROAD,22.2461484,114.1649044
8195,85.0,,2152.0,2795.0,77.0,4.0,East,2019-05-20,28.0,85000000.0,30,396646.0, 23 GRAMPIAN ROAD,22.3280872,114.1864347
8196,16.8,,787.0,979.0,80.0,3.0,Northwest,2019-05-18,784.0,16800000.0,30,78396.0, 51-61 TANNER ROAD,22.290585399999998,114.201877
